spec,maxl,maxw,maxth,maxstl,maxstw,Site
fs551,53.04,25.29,10.26,11.48,19.47,Means
fs606,46.5,20.5,8.38,11.02,13.55,Means
fs635,45.79,20.86,6.41,11.85,17.59,Means
fs644,57.72,23.55,11.2,14.21,19.3,Means
fs544,42.92,21,6.18,11.34,14.98,Means
fs617,58.87,22.78,13.61,7.11,14.06,Means
fs542,47.69,19.33,8.24,11.37,14.42,Means
fs325,45.26,20.02,6.57,14.85,16.06,Means
fs378,42.86,20.04,8.85,16.09,16.58,Means
fs731,63.05,22.04,11.23,23.34,19.86,Means
fs615,51.28,22.11,9.23,11.74,14.12,Means
fs663,45.83,20.74,8.38,10.78,12.4,Means
fs557,44.96,23.87,10.49,7.6,19.84,Means
fs706,46.02,14.11,7.25,5.14,11.59,Means
fs450,47.33,22.18,7.23,9.53,14.94,Means
fs176,52.32,21.2,7.05,13.34,13.87,Means
fs690,45.1,18.05,8.05,17.04,14.14,Means
fs706,38.08,17.75,5.87,6.89,11.3,Means
fs367,36.82,24.93,7.11,6.95,14.88,Means
fs635,39.28,23.2,7.09,13.06,16.34,Means
fs762,37.13,27.11,6.64,13.96,19.72,Means
fs394,49.62,20.37,8.72,14.56,14.66,Means
fs509,66.67,22.19,12.58,23.46,17.23,Means
fs359,53.56,44.22,8.06,16.45,19.58,Means
fs219,69.4,26.26,7.23,14.75,16.85,Means
fs451,50.74,18.45,6.5,10.83,10.94,Means
fs682,64.29,17.37,8.01,14.78,14.67,Means
fs604,45.53,19.34,6.82,10.55,13.07,Means
fs358,50.84,20.76,5.87,14.45,14.15,Means
fs710,52.51,20.47,7.14,16.56,15.65,Means
fs346,38.09,19.51,6.53,15.55,13.9,Means
fs623,50.69,32.18,7.41,11.89,18.32,Means
fs97,74.29,39.11,17.96,15.98,28.87,Cooper
fs167,62.11,22.13,12.15,12.84,13.79,Cooper
fs101,69.48,26.9,7.55,9.23,16.52,Cooper
fs225,35.42,29.67,8.59,12.39,22.23,Cooper
fs389,78.63,27.02,8.23,16.56,18.67,Cooper
fs194,48.85,29.37,7.45,17.92,17.56,Cooper
fs93,45.26,32.32,8.22,13.57,17.76,Cooper
fs582,80.61,34.98,11.19,15.71,19.77,Cooper
fs551,50.96,34,10.24,10.6,18.88,Cooper
fs315,66.79,21.75,8.43,17.07,12.86,Cooper
fs109,57.72,28.7,9.54,11.01,19.01,Cooper
fs557,49.93,32.96,6.02,12.81,16.87,Cooper
fs225,35.73,22.99,7.33,15.28,18.88,Cooper
fs95,55.6,23.98,7.45,11.76,15.96,Cooper
fs639,52.44,24.23,9.44,12.52,15.29,Cooper
fs896,68.54,36.57,9.78,13.64,23.02,Cooper
fs480,60.79,29.73,9.79,17.44,21.45,Cooper
fs781,58.01,23.86,8.34,10.48,15.21,Cooper
fs778,49.22,22.17,10.69,12.58,18.5,Cooper
fs586,44.96,28.49,8.37,15.05,20.02,Cooper
fs170,40.11,20.57,8.16,13.69,12.45,Cooper
fs631,46.01,26.23,6.43,14.74,16.02,Cooper
fs865,34.28,16.1,8.01,16.44,14.28,Cooper
fs92,51.66,20.05,8.99,9.44,13.96,Cooper
fs786,50.26,20.73,7.49,10.2,13.71,Cooper
fs649,50.48,24.51,10.55,14.59,16.96,Cooper
fs607,47.39,31.11,8.5,12.22,17.39,Cooper
fs225,57.26,24.05,8.46,14.43,14.82,Cooper
fs182,48,25.29,9.3,15.73,16.89,Cooper
fs569,41.69,19.1,7.83,15.05,16.64,Cooper
fs184,52.54,21.46,8.15,10.52,13.3,Cooper
fs583,60.88,27.8,9.27,17.31,15.95,Cooper
fs536,54.69,26.16,8.34,24.14,20.9,Cooper
fs573,59.71,27.27,12.02,16.44,21.72,Cooper
fs116,58.05,24.14,8.95,14.32,18.5,Cooper
fs638,52.03,18.21,8.73,11.29,14.45,Cooper
fs633,48.14,25.58,8.26,17.31,16.28,Cooper
fs805,56.17,27.75,9.13,12.04,18.74,Cooper
fs571,40.67,24.58,7.76,19.39,22.16,Cooper
fs110,67.6,48.98,10.35,18,27.24,Cooper
fs810,57.79,29.93,6.6,14.61,19.46,Cooper
fs819,44.05,25.45,5.95,13.55,18.03,Cooper
fs636,65.19,25.56,10.63,17.78,18.6,Cooper
fs91,52.76,29.83,6.73,16.98,19.59,Cooper
fs541,34.76,23.45,6.92,13.41,16.84,Cooper
fs112,35.73,22.53,8,14.16,15.2,Cooper
fs897,49.88,17.41,7.67,17.64,13.48,Cooper
fs629,56.38,18.68,9.86,21.09,15.12,Cooper
fs144,60.16,21.35,6.97,12.23,12.71,Cooper
fs125,44.35,30.36,11.09,11.33,19.83,Cooper
fs321,65.6,56.86,12.09,14.82,20.21,Cooper
fs630,46.44,18.19,7.44,9.43,15.38,Cooper
fs203,60.77,28.21,8.43,14.7,15.56,Cooper
fs177,44.25,25.68,7.81,8.73,13.55,Cooper
fs169,35.01,20.64,6.33,11.08,14.06,Cooper
fs193,43.04,21.95,9.08,16.59,15.67,Cooper
fs168,41,19.43,7.39,15.56,13.25,Cooper
fs500,50.58,24.45,8.27,8.07,18.19,Cooper
fs587,59.34,27.66,9.96,18.65,20.42,Cooper
fs632,49.19,20.91,7.07,10.46,12.09,Cooper
fs112,48.43,25.37,8.59,14.58,19.22,Cooper
fs97,38.44,33.36,6.89,12.7,18.57,Cooper
fs643,41.35,18.62,7.33,7,9.41,Cooper
fs640,57.54,20.02,10.33,11.75,14.45,Cooper
L1-1095,54.25,17.82,10.71,14.09,14.75,Pov Pt
L1-1017,51.23,33.09,10.36,10.54,18.39,Pov Pt
L1-911,54.03,29.41,8.53,13.63,15.98,Pov Pt
L1-1014,74.45,34.08,20.23,14.95,21.53,Pov Pt
L1-854,81.4,30.79,15.29,16.13,19.46,Pov Pt
L1-902,48.2,31.82,12.76,19.17,23.21,Pov Pt
L1-855,65.59,29.66,11.07,17.83,24.5,Pov Pt
L1-859,41.58,24.81,9.42,15.54,19.69,Pov Pt
L1-903,35.52,18.57,9.81,8.91,17.12,Pov Pt
L1-904,35.37,25.17,7.62,11.04,15.31,Pov Pt
L1-861,93.28,33.08,11.31,17.05,25.12,Pov Pt
L1-906,55.5,27.42,7.87,13.89,19.94,Pov Pt
L1-1000,55.62,21.2,9.41,14.63,17.95,Pov Pt
L1-999,72.78,32.98,12.41,15.87,20.33,Pov Pt
L1-907,57.78,23.1,8.7,10.42,17.11,Pov Pt
L1-1001,68.45,31.42,12.23,14.96,19.35,Pov Pt
L1-1004,65.13,32.94,8.62,13.14,16.97,Pov Pt
L1-1008,65.66,26.43,11.32,14.68,17.17,Pov Pt
L1-1009,54.57,21.01,8.67,14.43,12.44,Pov Pt
L1-1011,50.18,27.32,10.79,12.73,23.02,Pov Pt
L1-1012,40.83,23.63,8.29,12.15,18.23,Pov Pt
L1-1013,59.25,29.91,11.58,12.52,20.71,Pov Pt
F103384-2306,80.29,32.15,11.65,11.43,20.3,Pov Pt
F103384-2307,74.04,33.17,15.21,16.83,26.67,Pov Pt
F103384-2308,63.18,35.44,11.03,15.72,24.26,Pov Pt
F103384-2310,71.83,35.6,10.19,20.41,27.04,Pov Pt
F103384-2309,52.68,30.92,11.28,15.44,19.04,Pov Pt
F103384-2312,56.02,26.83,12.12,13.86,21.72,Pov Pt
F103384-2311,56.46,25.88,8.73,13.16,15.88,Pov Pt
F103384-2313,40.39,24.68,9.21,10.17,15.82,Pov Pt
F103384-2340,61.38,30.5,9.75,10.02,22.8,Pov Pt
F103384-2314,45.63,28.93,7.93,12.11,18.43,Pov Pt
F103384-2316,55.76,25.89,9.51,12.46,15.48,Pov Pt
F103384-2339,55.36,30.76,13.43,16.65,22.17,Pov Pt
F103384-2315,49.25,23.98,7.93,13.91,16.36,Pov Pt
F103384-2358,65.73,33.63,10.64,16.74,21.49,Pov Pt
F103384-2317,50.19,23.21,7,12.93,17.38,Pov Pt
F103384-2319,73.6,31.52,10.9,11.95,25.53,Pov Pt
F103384-2356,59.37,30.59,10.77,14.14,17.16,Pov Pt
F103384-2335,49.71,25.51,10.66,15.78,22.26,Pov Pt
F103384-2337,59.09,26.18,10.27,8.75,17.13,Pov Pt
F103384-2352,51.75,28.42,8.33,10.54,17.86,Pov Pt
F103384-2349,64.73,25.55,8.98,15.08,15.59,Pov Pt
F103384-2328,64.02,25.95,8.67,17.01,17.73,Pov Pt
F103384-2336,48,27.07,8.06,6.37,17.69,Pov Pt
F103384-2347,56.49,28.97,10.54,12.17,17.82,Pov Pt
F103384-2341,31.31,20.32,10.95,8.03,15.23,Pov Pt
F103384-2362,45.41,26.8,8.68,10.41,18.81,Pov Pt
F103384-2359,50.22,28.5,9.88,12.54,17.95,Pov Pt
F103384-2329,42.35,21.11,8.32,11.31,15.19,Pov Pt
F103384-2318,42.3,23.65,7.21,13.65,17.81,Pov Pt
L1-771,39.92,25.44,8.22,12.82,18.3,Pov Pt
L1-782,34.07,20.5,10.06,9.1,15.45,Pov Pt
L1-709,55.02,30.58,8.85,13.4,21.2,Pov Pt
L1-755,64.6,27.67,11.69,19.11,18.34,Pov Pt
L1-705,53.25,38.12,15.65,17.27,23.6,Pov Pt
L1-700,80.88,42.79,12.8,20.44,26.25,Pov Pt
L1-738,80.3,33.29,9.67,19.46,24.25,Pov Pt
L1-702,67.03,30.75,11.59,13.08,18.07,Pov Pt
L1-703,56.44,30.59,9.17,20.71,26.29,Pov Pt
L1-754,52.81,30.69,9.19,17.14,23.91,Pov Pt
L1-739,64.5,25.1,13.83,12.98,15.8,Pov Pt
L1-711,48.67,34.78,12.4,15.73,23,Pov Pt
L1-707,51.66,21.61,10.33,18.79,19.51,Pov Pt
L1-713,45.83,22.67,12.95,15.62,18.42,Pov Pt
L1-708,61.26,27.8,10.64,21.41,24.32,Pov Pt
L1-710,56.19,22.78,9.97,14.54,17.87,Pov Pt
L1-714,45.47,29.84,10.81,13.85,22.08,Pov Pt
L1-701,56.02,23.94,10.29,14.23,16.73,Pov Pt
L1-712,43.66,26.61,10.66,13.74,18.44,Pov Pt
L1-706,40.29,22.83,7.83,11.59,15.12,Pov Pt
L1-785,33.81,19.94,8.06,10.79,15.48,Pov Pt
L1-784,30.56,20.36,7.17,7.68,16.77,Pov Pt
L1-753,45.42,24.78,8.85,14.14,17.89,Pov Pt
F103384-2599,58.92,25.34,9.47,13.68,20.33,Pov Pt
F103384-2595,35.97,15.98,8.39,10.07,13.1,Pov Pt
F103384-2614,49.51,32.03,7.63,10.92,16.27,Pov Pt
M-1517,51.94,25.52,11.82,17.25,21.89,Pov Pt
F103384-2594,33.8,23.7,8.06,13.41,17.12,Pov Pt
F103384-2593,32.6,22.86,9.4,12.34,16.49,Pov Pt
F103384-2592,39.31,26.62,11.27,11.66,20.47,Pov Pt
F103384-2591,43.44,23.29,7.45,14.55,19.22,Pov Pt
F103384-2590,46.1,23.02,9.41,12.43,14.97,Pov Pt
M-1263,31.34,19.27,8.96,9.11,17.38,Pov Pt
M-1437,65.37,26.25,11.4,11.31,18.45,Pov Pt
M-1329,63.57,28.08,10.42,13.88,17.25,Pov Pt
F103384-2589,53.97,24.31,8.37,10.57,14.52,Pov Pt
M-1261,34.36,14.65,5.4,6.42,10.78,Pov Pt
M-1330,46.25,22.21,9.96,11.19,16.26,Pov Pt
M-1260,38.02,21.72,5.62,11.12,14.79,Pov Pt
M-1258,40.56,24,7.6,11.52,13.48,Pov Pt
M-1257,49.18,24.97,11.58,17.15,23.36,Pov Pt
M-1264,76.41,36.32,8.01,25.53,26.57,Pov Pt
L9-1202,45.83,21.89,10.57,14.46,20.11,Pov Pt
F103384-2588,40.28,23.74,7.72,16.83,20.32,Pov Pt
F103384-2582,57.32,29.42,7.75,10.07,21.42,Pov Pt
F103384-2581,51.71,28.55,8.96,20.28,23.12,Pov Pt
M-1256,32.87,18.88,5.89,9.49,12.17,Pov Pt
F103380-2446,52.18,21.43,9.87,16.52,18.43,Pov Pt
F103380-2445,42.24,18.48,11.22,10.55,15.58,Pov Pt
F103380-2444,52.04,25.02,10.19,14.01,20.73,Pov Pt
F103380-2443,42.14,23,7.66,11.52,21.32,Pov Pt
F103380-2449,34.78,19.37,7.97,12,18.75,Pov Pt
F103380-2451,46.62,19.23,11.18,19.76,17.88,Pov Pt
F103380-2450,55.55,31.59,15,14.49,24.24,Pov Pt
F103380-2419,52.84,26.72,10.97,20.92,25.03,Pov Pt
F103380-2420,59.69,25.67,9.87,16.2,20.93,Pov Pt
F103380-2418,49.25,26,10.47,20.56,23.99,Pov Pt
F103380-2448,36.73,20.94,9.52,17.11,20.04,Pov Pt
F103380-2447,59.78,26.95,11.41,19.6,25.41,Pov Pt
F103380-2416,56.67,26.58,8.46,22.18,23.85,Pov Pt
F103380-2423,62.73,32.19,11.97,19.39,28.01,Pov Pt
F103380-2421,47.53,25.47,10.87,17.39,24.23,Pov Pt
F103380-2426,51.59,30.19,11.32,21,28.46,Pov Pt
F103380-2425,50.65,27.26,9.75,22.27,25.52,Pov Pt
F103380-2430,40.69,24.48,10.2,16.3,20.99,Pov Pt
F103380-2427,59.08,24.9,9.06,16.82,24.16,Pov Pt
F103380-2438,42.79,26.72,10.16,19.62,24.46,Pov Pt
F103380-2436,64.71,23.85,11.74,18.38,21.73,Pov Pt
F103380-2435,47.02,22.17,8.89,15.02,18.56,Pov Pt
F103380-2442,32.3,16.79,9.06,9.53,13.54,Pov Pt
F103380-2441,48.51,17.91,7.78,16.94,17.18,Pov Pt
F103380-2434,52.87,28.04,11.89,18.01,25.56,Pov Pt
F103380-2440,45.22,26.63,10.09,12.43,21.38,Pov Pt
F103380-2437,52.7,24.76,9.55,19.26,22.13,Pov Pt
F103380-2439,44.29,21.55,13.5,16.63,20.23,Pov Pt
chp-194,72.89,41.43,11.21,20.26,27.34,Pov Pt
L1-696,84.65,30.37,15.81,20.15,21.41,Pov Pt
L1-697,67.97,37.82,10.97,21.03,29.47,Pov Pt
L1-658,62.22,35.97,9.56,13.72,17.77,Pov Pt
L1-698,69.81,32.19,11.27,11.52,19.47,Pov Pt
L1-695,75.07,24.39,10.24,18,22.44,Pov Pt
L1-694,69.68,30.6,11.76,15.27,27.93,Pov Pt
M-313,55.41,22.67,12.59,13.22,18.61,Pov Pt
M-314,60.39,30.51,11.95,13.74,20.6,Pov Pt
M-291,59.64,29.58,8.86,13.15,18.02,Pov Pt
M-345,65.3,30.99,12.57,18.1,23.76,Pov Pt
L1-529,79.94,31.06,9.48,18.49,20.38,Pov Pt
L1-672,69.66,37.43,12.64,19.87,28.38,Pov Pt
L1-678,65.12,29.62,8.87,9.13,20.27,Pov Pt
L1-543,72.46,29.81,14.43,13.98,19.62,Pov Pt
L1-674,49.95,31.41,12.72,9.35,19.44,Pov Pt
L1-699,47.59,23.21,7.8,20,19.84,Pov Pt
L1-541,65.67,24.71,8.95,19.77,22.04,Pov Pt
M-315,49.05,26.65,10.84,17.65,24.24,Pov Pt
5982,67.32,31.85,10.16,15.23,20.87,Pov Pt
5987,47.9,20.86,9.98,13.97,19.02,Pov Pt
5244,45.83,26.31,11.28,15.54,18.58,Pov Pt
5240,58.09,24.57,9.29,16.53,20.16,Pov Pt
5045,57.35,29.34,8.66,16.33,19.48,Pov Pt
5173,67.54,46.03,11.42,17.03,24.12,Pov Pt
5006,78.16,30.35,11.4,16.45,19.48,Pov Pt
5040,75.42,32.87,13.61,19.5,26.75,Pov Pt
5177,32.24,19.6,8.12,12.55,17.61,Pov Pt
5041,53.08,26.84,7.37,17.74,22,Pov Pt
5336,60.04,32.67,10.47,11.79,16.61,Pov Pt
5461,71.32,44.09,8.71,12.47,20.58,Pov Pt
5090,50.98,27.68,8.48,17.51,23.34,Pov Pt
5352,55.91,27.88,11.16,19.17,23.09,Pov Pt
5306,61.01,38.95,6.24,13.24,15.62,Pov Pt
5305,73.95,38.77,8.73,15.99,19.59,Pov Pt
5241,54.18,29.82,9.24,14.23,20.31,Pov Pt
5242,44.96,24.05,6.59,14.28,17.85,Pov Pt
5176,36.91,24.23,8.42,11.11,15.87,Pov Pt
5175,34.66,18.63,6.98,13.01,16.93,Pov Pt
4370,70.66,36.99,10.51,14.73,19.31,Pov Pt
4391,41.02,22.35,10.08,16.75,18.26,Pov Pt
4369,88.5,40.86,8.61,21.42,23.45,Pov Pt
4367,96.65,35.9,10.43,20.79,25.19,Pov Pt
4371,71.45,41.35,10.84,14.64,25.08,Pov Pt
4364,91.05,38.82,12.97,21.01,29.53,Pov Pt
4366,103.02,29.69,11.18,22.59,25.29,Pov Pt
4388,91.97,27.58,9.03,33.58,26.45,Pov Pt
4398,59.56,33.77,11.89,10.84,24.06,Pov Pt
4368,77.72,34.23,16.07,22.51,29.81,Pov Pt
4365,91.53,29.14,15.13,20.29,26,Pov Pt
4387,68.65,27.1,9.92,23.67,24.59,Pov Pt
4390,44.29,22.06,10.93,14.87,18.96,Pov Pt
4392,49.34,28.81,10.51,18.28,25.41,Pov Pt
4393,41.33,22.23,8.17,18.19,19.63,Pov Pt
6327,40.1,21.97,6.86,12.56,16.25,Pov Pt
6325,78.12,43.96,14.82,16.75,24.31,Pov Pt
6089,54.82,25.01,9.23,10.46,16.1,Pov Pt
6302,58.7,32.46,12.74,21.85,28.57,Pov Pt
6252,60.94,32.79,8.19,14.12,18.09,Pov Pt
6278,57.23,23.02,9.04,18.15,20.42,Pov Pt
6941,51.71,29.96,8.87,17.51,20.81,Pov Pt
6165,56.46,28.43,10.28,18.91,26.12,Pov Pt
6312,45.25,29.11,8.01,11.09,25.02,Pov Pt
6258,58.74,36.43,8.85,13.25,18.07,Pov Pt
6321,55.36,31.56,7.01,16.12,20.61,Pov Pt
7506,85.49,43.66,16.87,19.75,28.16,Pov Pt
7293,54.75,30.4,11.55,15.08,20.28,Pov Pt
7386,71.8,29.83,9,26.3,24.81,Pov Pt
7186,51.34,31.65,8.07,14.24,22.19,Pov Pt
7984,54.93,26.69,13.61,20.81,22.01,Pov Pt
7986,40.66,28.72,9.07,16.74,21.26,Pov Pt
7477,63.32,32.43,8.63,17.93,27.44,Pov Pt
7987,48.35,28.09,8.22,12.88,20.61,Pov Pt
7985,44.23,27.11,10.79,21.21,23.8,Pov Pt
3230,86.45,28.68,11.58,23.47,25.83,Pov Pt
3354,81.55,27.69,10.84,20.44,24.29,Pov Pt
3699,68.86,26.97,9.55,13.86,19.68,Pov Pt
3619,54.17,27.78,14.08,16.03,19.26,Pov Pt
3348,75.56,35.65,10.2,22.67,31.26,Pov Pt
3232,71.36,27.67,10.5,13.06,19.48,Pov Pt
3351,53.61,33.64,11.61,20.28,24.83,Pov Pt
3371,59.85,26.23,12.51,15.15,20.4,Pov Pt
3356,59.72,31.9,9.24,15.3,23.92,Pov Pt
3615,57.15,30.5,10.16,14.85,19.21,Pov Pt
3613,57.34,23.86,18.1,16.63,21.94,Pov Pt
3616,60.74,26.3,7.88,12.13,16.41,Pov Pt
3372,64.5,26.93,11.89,14.65,18.83,Pov Pt
3357,49.33,31.48,8.61,19.07,30.35,Pov Pt
3352,78.65,35.97,11.43,13.6,22.69,Pov Pt
3724,62.99,27.88,10.08,16.69,21.08,Pov Pt
3362,47.56,31.24,8.91,14.17,18.26,Pov Pt
3370,63.05,25.24,11.43,21.39,21.98,Pov Pt
3355,50.47,26.37,11.32,12.03,19.71,Pov Pt
3366,42.1,32.68,9.13,18.26,26.09,Pov Pt
3548,51.71,28.05,8.5,13.74,20.4,Pov Pt
3350,50.06,25.47,12.65,15.86,17.9,Pov Pt
3349,53.39,27.84,13.57,15.9,19.02,Pov Pt
3353,59.91,32.78,13.28,19.3,24.44,Pov Pt
4949,56.88,33.16,9.64,18.66,24.13,Pov Pt
4748,58.44,33.82,11.6,13.55,25.26,Pov Pt
4753,80.89,35.8,12.42,20.8,30.33,Pov Pt
4750,57.18,30.7,9.18,23.51,26.37,Pov Pt
4752,66.09,28.35,13.6,21.95,21.72,Pov Pt
4749,69.7,30.7,9.43,17.77,24.45,Pov Pt
4904,42.55,25.86,8.85,17.34,23.37,Pov Pt
4897,49.53,26.42,9.5,22.91,23.17,Pov Pt
8005,71.17,34.31,14.46,16.14,21.53,Pov Pt
8130,77.81,29.97,9.56,20.63,26.51,Pov Pt
8128,80.09,27.03,8.17,17.29,20.23,Pov Pt
8006,55.25,31.1,11.45,15.95,20.62,Pov Pt
8004,58.31,30.94,10.39,16.38,17.93,Pov Pt
8124,63.2,34.96,10.95,18.36,25.74,Pov Pt
8051,46.18,23.05,18.08,16.75,20.2,Pov Pt
2782,42.06,24.1,9.91,13.38,14.54,Pov Pt
2785,41.81,25.88,8.02,12.59,17.2,Pov Pt
2821,52.59,31.89,9.94,14.68,20.37,Pov Pt
2771,46.62,25.63,12.18,16.44,17.76,Pov Pt
2770,63.89,33.04,12.06,17.14,21.28,Pov Pt
2777,70.49,31.99,8.81,12.04,18.29,Pov Pt
